"","Province","month","Type","mean.n","sd.n"
"314","Ontario","2020-11","Prop.domestic",0.00408499202149996,1.06232557660817e-05
"315","Ontario","2020-11","Prop.provincial",0.961295456454187,0.000224416278058477
"316","Ontario","2020-12","Prop.USA",0.01303739087465,0.000685828625578713
"317","Ontario","2020-12","Prop.international",0.0196631526931313,0.00136731656365376
"318","Ontario","2020-12","Prop.totalinternational",0.0327005435677813,0.00205314518923248
"319","Ontario","2020-12","Prop.domestic",0.00427441937077911,2.89379166910843e-06
"320","Ontario","2020-12","Prop.provincial",0.96302503706144,0.00205603898090159
"321","Ontario","2021-01","Prop.USA",0.0287917271407837,0.000172112354508439
"322","Ontario","2021-01","Prop.international",0.0220246734397678,0.00883510086476652
"323","Ontario","2021-01","Prop.totalinternational",0.0508164005805515,0.00866298851025808
"324","Ontario","2021-01","Prop.domestic",0,0
"325","Ontario","2021-01","Prop.provincial",0.949183599419448,0.00866298851025806
"326","Quebec","2020-01","Prop.USA",NA,NA
"327","Quebec","2020-01","Prop.international",NA,NA
"328","Quebec","2020-01","Prop.totalinternational",NA,NA
"329","Quebec","2020-01","Prop.domestic",NA,NA
"330","Quebec","2020-01","Prop.provincial",NA,NA
"331","Quebec","2020-02","Prop.USA",NA,NA
"332","Quebec","2020-02","Prop.international",NA,NA
"333","Quebec","2020-02","Prop.totalinternational",NA,NA
"334","Quebec","2020-02","Prop.domestic",NA,NA
"335","Quebec","2020-02","Prop.provincial",NA,NA
"336","Quebec","2020-03","Prop.USA",0.221303978590681,0.00338905096966336
"337","Quebec","2020-03","Prop.international",0.146332110911315,0.00679431821934433
"338","Quebec","2020-03","Prop.totalinternational",0.367636089501996,0.0101833691890077
"339","Quebec","2020-03","Prop.domestic",0.0221825984104041,0.00244683963443408
"340","Quebec","2020-03","Prop.provincial",0.6101813120876,0.00773652955457362
"341","Quebec","2020-04","Prop.USA",0.17913973826211,0.00641948445185829
"342","Quebec","2020-04","Prop.international",0.0165864499989663,0.00282891427061725
"343","Quebec","2020-04","Prop.totalinternational",0.195726188261076,0.00359057018124103
"344","Quebec","2020-04","Prop.domestic",0.0100016539519113,5.03412061098979e-05
"345","Quebec","2020-04","Prop.provincial",0.794272157787012,0.00354022897513115
"346","Quebec","2020-05","Prop.USA",0.0253625134264232,0.000948230411883644
"347","Quebec","2020-05","Prop.international",0.0150644468313641,8.49161562880877e-05
"348","Quebec","2020-05","Prop.totalinternational",0.0404269602577873,0.00103314656817173
"349","Quebec","2020-05","Prop.domestic",0,0
"350","Quebec","2020-05","Prop.provincial",0.959573039742213,0.00103314656817174
"351","Quebec","2020-06","Prop.USA",0.0357792207792208,0.000205342705205739
"352","Quebec","2020-06","Prop.international",0.0894480519480519,0.000513356763014347
"353","Quebec","2020-06","Prop.totalinternational",0.125227272727273,0.000718699468220082
"354","Quebec","2020-06","Prop.domestic",0,0
"355","Quebec","2020-06","Prop.provincial",0.874772727272727,0.0007186994682201
"356","Quebec","2020-07","Prop.USA",0.0263157894736842,0
"357","Quebec","2020-07","Prop.international",0,0
"358","Quebec","2020-07","Prop.totalinternational",0.0263157894736842,0
"359","Quebec","2020-07","Prop.domestic",0.0271929824561403,0.00277392777207753
"360","Quebec","2020-07","Prop.provincial",0.946491228070175,0.0027739277720775
"361","Quebec","2020-08","Prop.USA",0.00814351945172344,4.24951644180389e-05
"362","Quebec","2020-08","Prop.international",0.0162870389034469,8.49903288360778e-05
"363","Quebec","2020-08","Prop.totalinternational",0.0244305583551703,0.000127485493254117
"364","Quebec","2020-08","Prop.domestic",0.00814351945172344,4.24951644180389e-05
"365","Quebec","2020-08","Prop.provincial",0.967425922193106,0.000169980657672171
"366","Quebec","2020-09","Prop.USA",0,0
"367","Quebec","2020-09","Prop.international",0.0626329787234043,0.000420515646298985
"368","Quebec","2020-09","Prop.totalinternational",0.0626329787234043,0.000420515646298985
"369","Quebec","2020-09","Prop.domestic",0,0
"370","Quebec","2020-09","Prop.provincial",0.937367021276596,0.000420515646298981
"371","Quebec","2020-10","Prop.USA",NA,NA
"372","Quebec","2020-10","Prop.international",NA,NA
"373","Quebec","2020-10","Prop.totalinternational",NA,NA
"374","Quebec","2020-10","Prop.domestic",NA,NA
"375","Quebec","2020-10","Prop.provincial",NA,NA
"376","Quebec","2020-11","Prop.USA",NA,NA
"377","Quebec","2020-11","Prop.international",NA,NA
"378","Quebec","2020-11","Prop.totalinternational",NA,NA
"379","Quebec","2020-11","Prop.domestic",NA,NA
"380","Quebec","2020-11","Prop.provincial",NA,NA
"381","Quebec","2020-12","Prop.USA",0,0
"382","Quebec","2020-12","Prop.international",1,0
"383","Quebec","2020-12","Prop.totalinternational",1,0
"384","Quebec","2020-12","Prop.domestic",0,0
"385","Quebec","2020-12","Prop.provincial",0,0
"386","Quebec","2021-01","Prop.USA",NA,NA
"387","Quebec","2021-01","Prop.international",NA,NA
"388","Quebec","2021-01","Prop.totalinternational",NA,NA
"389","Quebec","2021-01","Prop.domestic",NA,NA
"390","Quebec","2021-01","Prop.provincial",NA,NA
